ens,symbol,allenGenes
ENSMUSG00000100313,Gm28323,Gm28323
ENSMUSG00000062939,Stat4,Stat4
ENSMUSG00000109599,Gm31812,Gm31812
ENSMUSG00000026104,Stat1,Stat1
ENSMUSG00000026103,Gls,Gls
ENSMUSG00000002881,Nab1,Nab1
ENSMUSG00000100120,Gm553,Gm553
ENSMUSG00000099878,Gm28178,Gm28178
ENSMUSG00000043015,Nemp2,Nemp2
ENSMUSG00000041439,Mfsd6,Mfsd6
ENSMUSG00000100302,Gm29670,Gm29670
ENSMUSG00000026102,Inpp1,Inpp1
ENSMUSG00000041426,Hibch,Hibch
ENSMUSG00000043629,1700019D03Rik,1700019D03Rik
ENSMUSG00000026100,Mstn,Mstn
ENSMUSG00000060715,1700019A02Rik,1700019A02Rik
ENSMUSG00000026098,Pms1,Pms1
ENSMUSG00000100763,Gm28777,Gm28777
ENSMUSG00000026097,Ormdl1,Ormdl1
ENSMUSG00000026096,Osgepl1,Osgepl1
ENSMUSG00000026095,Asnsd1,Asnsd1
ENSMUSG00000117809,Asdurf,Asdurf
ENSMUSG00000096141,Dnah7a,Dnah7a
ENSMUSG00000026094,Stk17b,Stk17b
ENSMUSG00000042807,Hecw2,Hecw2
ENSMUSG00000025983,Ccdc150,Ccdc150
ENSMUSG00000041303,Gtf3c3,Gtf3c3
ENSMUSG00000109809,Gm34066,Gm34066
ENSMUSG00000073678,Pgap1,Pgap1
ENSMUSG00000052331,Ankrd44,Ankrd44
ENSMUSG00000101674,4930444A19Rik,4930444A19Rik
ENSMUSG00000025982,Sf3b1,Sf3b1
ENSMUSG00000025981,Coq10b,Coq10b
ENSMUSG00000025980,Hspd1,Hspd1
ENSMUSG00000073676,Hspe1,Hspe1
ENSMUSG00000025979,Mob4,Mob4
ENSMUSG00000025978,Rftn2,Rftn2
ENSMUSG00000097649,Gm10561,Gm10561
ENSMUSG00000046994,Mars2,Mars2
ENSMUSG00000025977,Boll,Boll
ENSMUSG00000038349,Plcl1,Plcl1
ENSMUSG00000099950,9130227L01Rik,9130227L01Rik
ENSMUSG00000100372,1700003I22Rik,1700003I22Rik
ENSMUSG00000101332,Gm28240,Gm28240
ENSMUSG00000045336,Hsfy2,Hsfy2
ENSMUSG00000038331,Satb2,Satb2
ENSMUSG00000087022,9130024F11Rik,9130024F11Rik
ENSMUSG00000099945,1700126A01Rik,1700126A01Rik
ENSMUSG00000101429,BC055402,BC055402
ENSMUSG00000097519,4930558J18Rik,4930558J18Rik
ENSMUSG00000038323,1700066M21Rik,1700066M21Rik
ENSMUSG00000048495,Tyw5,Tyw5
ENSMUSG00000025971,Maip1,Maip1
ENSMUSG00000038305,Spats2l,Spats2l
ENSMUSG00000091283,Gm17234,Gm17234
ENSMUSG00000054770,Kctd18,Kctd18
ENSMUSG00000026039,Sgo2a,Sgo2a
ENSMUSG00000063558,Aox1,Aox1
ENSMUSG00000064294,Aox3,Aox3
ENSMUSG00000038242,Aox4,Aox4
ENSMUSG00000089822,Gm15759,Gm15759
ENSMUSG00000079554,Aox2,Aox2
ENSMUSG00000051223,Bzw1,Bzw1
ENSMUSG00000026034,Clk1,Clk1
ENSMUSG00000026035,Ppil3,Ppil3
ENSMUSG00000026036,Nif3l1,Nif3l1
ENSMUSG00000026037,Orc2,Orc2
ENSMUSG00000085054,Gm15834,Gm15834
ENSMUSG00000038174,Fam126b,Fam126b
ENSMUSG00000026032,Ndufb3,Ndufb3
ENSMUSG00000047528,Flacc1,Flacc1
ENSMUSG00000026031,Cflar,Cflar
ENSMUSG00000026029,Casp8,Casp8
ENSMUSG00000026028,Trak2,Trak2
ENSMUSG00000026027,Stradb,Stradb
ENSMUSG00000072295,C2cd6,C2cd6
ENSMUSG00000047383,AC169382.1,AC169382.1
ENSMUSG00000099752,Gm29018,Gm29018
ENSMUSG00000038079,Tmem237,Tmem237
ENSMUSG00000097573,G730003C15Rik,G730003C15Rik
ENSMUSG00000079550,Mpp4,Mpp4
ENSMUSG00000101586,Gm29017,Gm29017
ENSMUSG00000026024,Als2,Als2
ENSMUSG00000026023,Cdk15,Cdk15
ENSMUSG00000099922,Gm29016,Gm29016
ENSMUSG00000041075,Fzd7,Fzd7
ENSMUSG00000097819,Gm26813,Gm26813
ENSMUSG00000047361,Gm973,Gm973
ENSMUSG00000099811,Gm28411,Gm28411
ENSMUSG00000101409,1700122D07Rik,1700122D07Rik
ENSMUSG00000026021,Sumo1,Sumo1
ENSMUSG00000026020,Nop58,Nop58
ENSMUSG00000067336,Bmpr2,Bmpr2
ENSMUSG00000041040,Fam117b,Fam117b
ENSMUSG00000026018,Ica1l,Ica1l
ENSMUSG00000026019,Wdr12,Wdr12
ENSMUSG00000026017,Carf,Carf
ENSMUSG00000073664,Nbeal1,Nbeal1
ENSMUSG00000049439,Cyp20a1,Cyp20a1
ENSMUSG00000026782,Abi2,Abi2
ENSMUSG00000026014,Raph1,Raph1
ENSMUSG00000026012,Cd28,Cd28
ENSMUSG00000086795,Gm11579,Gm11579
ENSMUSG00000085965,2310016D23Rik,2310016D23Rik
ENSMUSG00000026011,Ctla4,Ctla4
ENSMUSG00000026009,Icos,Icos
ENSMUSG00000100893,Gm28083,Gm28083
ENSMUSG00000085248,Gm11587,Gm11587
ENSMUSG00000085447,9530026F06Rik,9530026F06Rik
ENSMUSG00000086408,Gm11588,Gm11588
ENSMUSG00000100965,Gm28449,Gm28449
ENSMUSG00000086009,4930587A21Rik,4930587A21Rik
ENSMUSG00000052062,Pard3b,Pard3b
ENSMUSG00000085842,Pard3bos1,Pard3bos1
ENSMUSG00000085019,Pard3bos2,Pard3bos2
ENSMUSG00000085400,Pard3bos3,Pard3bos3
ENSMUSG00000100750,Gm29084,Gm29084
ENSMUSG00000025969,Nrp2,Nrp2
ENSMUSG00000100811,Gm29083,Gm29083
ENSMUSG00000100426,Gm4208,Gm4208
ENSMUSG00000040865,Ino80d,Ino80d
ENSMUSG00000084799,Ino80dos,Ino80dos
ENSMUSG00000101599,Gm20342,Gm20342
ENSMUSG00000025968,Ndufs1,Ndufs1
ENSMUSG00000025967,Eef1b2,Eef1b2
ENSMUSG00000046856,Gpr1,Gpr1
ENSMUSG00000086730,Platr12,Platr12
ENSMUSG00000087561,Gm11608,Gm11608
ENSMUSG00000027520,Zdbf2,Zdbf2
ENSMUSG00000025964,Adam23,Adam23
ENSMUSG00000115378,Gm39653,Gm39653
ENSMUSG00000069085,Dytn,Dytn
ENSMUSG00000025963,Mdh1b,Mdh1b
ENSMUSG00000025962,Fastkd2,Fastkd2
ENSMUSG00000025961,4933402D24Rik,4933402D24Rik
ENSMUSG00000044689,Gm13749,Gm13749
ENSMUSG00000025959,Klf7,Klf7
ENSMUSG00000086836,Gm13748,Gm13748
ENSMUSG00000101895,Gm28981,Gm28981
ENSMUSG00000025958,Creb1,Creb1
ENSMUSG00000025956,Mettl21a,Mettl21a
ENSMUSG00000101832,Gm28982,Gm28982
ENSMUSG00000100437,Gm29152,Gm29152
ENSMUSG00000087213,2810408I11Rik,2810408I11Rik
ENSMUSG00000070871,Ccnyl1,Ccnyl1
ENSMUSG00000045005,Fzd5,Fzd5
ENSMUSG00000051344,Plekhm3,Plekhm3
ENSMUSG00000025955,Akr1cl,Akr1cl
ENSMUSG00000070870,Cryge,Cryge
ENSMUSG00000067299,Crygd,Crygd
ENSMUSG00000025952,Crygc,Crygc
ENSMUSG00000073658,Crygb,Crygb
ENSMUSG00000044429,Cryga,Cryga
ENSMUSG00000044816,D630023F18Rik,D630023F18Rik
ENSMUSG00000025950,Idh1,Idh1
ENSMUSG00000025949,Pikfyve,Pikfyve
ENSMUSG00000025946,Pth2r,Pth2r
ENSMUSG00000025945,Crygf,Crygf
ENSMUSG00000015222,Map2,Map2
ENSMUSG00000073656,Gm10558,Gm10558
ENSMUSG00000055567,Unc80,Unc80
ENSMUSG00000026005,Rpe,Rpe
ENSMUSG00000026004,Kansl1l,Kansl1l
ENSMUSG00000026003,Acadl,Acadl
ENSMUSG00000061816,Myl1,Myl1
ENSMUSG00000026000,Lancl1,Lancl1
ENSMUSG00000025991,Cps1,Cps1
ENSMUSG00000086204,Gm15668,Gm15668
ENSMUSG00000085075,Gm15669,Gm15669
ENSMUSG00000087329,Gm15671,Gm15671
ENSMUSG00000062209,Erbb4,Erbb4
ENSMUSG00000087514,Gm16076,Gm16076
ENSMUSG00000099804,Gm28497,Gm28497
ENSMUSG00000100354,Gm29113,Gm29113
ENSMUSG00000101156,Gm29114,Gm29114
ENSMUSG00000025997,Ikzf2,Ikzf2
ENSMUSG00000100815,Gm29112,Gm29112
ENSMUSG00000099954,Gm28112,Gm28112
ENSMUSG00000053153,Spag16,Spag16
ENSMUSG00000045648,Vwc2l,Vwc2l
ENSMUSG00000026196,Bard1,Bard1
ENSMUSG00000050296,Abca12,Abca12
ENSMUSG00000026192,Atic,Atic
ENSMUSG00000026193,Fn1,Fn1
ENSMUSG00000073652,Apol7d,Apol7d
ENSMUSG00000099707,Gm8883,Gm8883
ENSMUSG00000101211,Gm28818,Gm28818
ENSMUSG00000101848,4933417E11Rik,4933417E11Rik
ENSMUSG00000101764,4930556G22Rik,4930556G22Rik
ENSMUSG00000102123,Gm4319,Gm4319
ENSMUSG00000039395,Mreg,Mreg
ENSMUSG00000026189,Pecr,Pecr
ENSMUSG00000026188,Tmem169,Tmem169
ENSMUSG00000026187,Xrcc5,Xrcc5
ENSMUSG00000039372,March4,March4
ENSMUSG00000039354,Smarcal1,Smarcal1
ENSMUSG00000110712,Gm39662,Gm39662
ENSMUSG00000039342,Ankar,Ankar
ENSMUSG00000046330,Rpl37a,Rpl37a
ENSMUSG00000039323,Igfbp2,Igfbp2
ENSMUSG00000026185,Igfbp5,Igfbp5
ENSMUSG00000101968,1700027A15Rik,1700027A15Rik
ENSMUSG00000026182,Tnp1,Tnp1
ENSMUSG00000101112,Gm29185,Gm29185
ENSMUSG00000099877,Pinc,Pinc
ENSMUSG00000101812,D530049I02Rik,D530049I02Rik
ENSMUSG00000100444,C530043A13Rik,C530043A13Rik
ENSMUSG00000100429,Gm29186,Gm29186
ENSMUSG00000100301,6030407O03Rik,6030407O03Rik
ENSMUSG00000101344,Gm29183,Gm29183
ENSMUSG00000055322,Tns1,Tns1
ENSMUSG00000061815,Rufy4,Rufy4
ENSMUSG00000026180,Cxcr2,Cxcr2
ENSMUSG00000048480,Cxcr1,Cxcr1
ENSMUSG00000006304,Arpc2,Arpc2
ENSMUSG00000064272,Gpbar1,Gpbar1
ENSMUSG00000006299,Aamp,Aamp
ENSMUSG00000101503,Gm28364,Gm28364
ENSMUSG00000026179,Pnkd,Pnkd
ENSMUSG00000006301,Tmbim1,Tmbim1
ENSMUSG00000099931,Gm29358,Gm29358
ENSMUSG00000073650,Catip,Catip
ENSMUSG00000026177,Slc11a1,Slc11a1
ENSMUSG00000026176,Ctdsp1,Ctdsp1
ENSMUSG00000026175,Vil1,Vil1
ENSMUSG00000033364,Usp37,Usp37
ENSMUSG00000026174,Cnot9,Cnot9
ENSMUSG00000026173,Plcd4,Plcd4
ENSMUSG00000026135,Zfp142,Zfp142
ENSMUSG00000026172,Bcs1l,Bcs1l
ENSMUSG00000026171,Rnf25,Rnf25
ENSMUSG00000033276,Stk36,Stk36
ENSMUSG00000033257,Ttll4,Ttll4
ENSMUSG00000026170,Cyp27a1,Cyp27a1
ENSMUSG00000006542,Prkag3,Prkag3
ENSMUSG00000033227,Wnt6,Wnt6
ENSMUSG00000099472,Gm29539,Gm29539
ENSMUSG00000026167,Wnt10a,Wnt10a
ENSMUSG00000089964,Gm16582,Gm16582
ENSMUSG00000090071,Cdk5r2,Cdk5r2
ENSMUSG00000055197,Fev,Fev
ENSMUSG00000006546,Cryba2,Cryba2
ENSMUSG00000047021,Cfap65,Cfap65
ENSMUSG00000089653,Gm15841,Gm15841
