r,r_s
NDB-SI-MA-STRv_Lhx8_Gaba,Telencephalon,0.726484498160799
PAL-STR_Gaba-Chol,Telencephalon,0.856866537717601
GPe-SI_Sox6_Cyp26b1_Gaba,Telencephalon,0.875366568914956
OT_D3_Folh1_Gaba,Telencephalon,0.997745571658615
STR_D1_Gaba,Telencephalon,0.988079138492361
STR_D2_Gaba,Telencephalon,0.988996670044882
STR_D1_Sema5a_Gaba,Telencephalon,0.977710511832692
STR-PAL_Chst9_Gaba,Telencephalon,0.968176967109731
IA_Mgp_Gaba,Telencephalon,0.97667638483965
NDB-SI-ant_Prdm12_Gaba,Telencephalon,0.987850467289719
LSX_Sall3_Pax6_Gaba,Telencephalon,0.976234003656307
LSX_Otx2_Gaba,Telencephalon,0.979957805907173
LSX_Nkx2-1_Gaba,Telencephalon,0.990112606426806
LSX_Prdm12_Slit2_Gaba,Telencephalon,0.990886998784933
LSX_Prdm12_Zeb2_Gaba,Telencephalon,0.999666332999666
LSX_Sall3_Lmo1_Gaba,Telencephalon,1
MEA-BST_Sox6_Gaba,Telencephalon,0.930622732769045
MEA-BST_Lhx6_Sp9_Gaba,Telencephalon,0.862335986233598
MEA-BST_Lhx6_Nr2e1_Gaba,Telencephalon,0.984256559766764
MEA-BST_Lhx6_Nfib_Gaba,Telencephalon,0.663757575757576
CEA-BST_Gal_Avp_Gaba,Telencephalon,0.911764705882353
SI-MA-ACB_Ebf1_Bnc2_Gaba,Telencephalon,0.929362880886427
CEA-BST_Six3_Cyp26b1_Gaba,Telencephalon,0.996809189534142
CEA-AAA-BST_Six3_Sp9_Gaba,Telencephalon,0.969866071428572
ACB-BST-FS_D1_Gaba,Telencephalon,0.977379830348727
CEA-BST_Ebf1_Pdyn_Gaba,Telencephalon,0.988661627389951
CEA-BST_Rai14_Pdyn_Crh_Gaba,Telencephalon,0.975265017667844
BST-SI-AAA_Six3_Slc22a3_Gaba,Telencephalon,0.705009276437848
SI-MPO-LPO_Lhx8_Gaba,Diencephalon,0.639634801288937
MPO-ADP_Lhx8_Gaba,Diencephalon,0.655172413793103
MPN-MPO-LPO_Lhx6_Zfhx3_Gaba,Diencephalon,0.715814506539834
