subclass_id_label,AllenRegionRate,AllenRegionRateTop3,MajorRegionRate,MajorRegionRateTop3
120 MEA Otp Foxp2 Glut,STR:0.982278481012658;CTXsp:0.010126582278481;OLF:0.00379746835443038;HY:0.00126582278481013;HY LZ:0.00126582278481013;TH:0.00126582278481013,STR:0.982278481012658;CTXsp:0.010126582278481;OLF:0.00379746835443038,STR:0.982278481012658;OLF:0.0139240506329114;HY:0.00253164556962025;TH:0.00126582278481013,STR:0.982278481012658;OLF:0.0139240506329114;HY:0.00253164556962025
121 MEA-BST Otp Zic2 Glut,STR:0.789133247089263;CNU:0.138421733505821;HY:0.0608020698576973;HY LZ:0.00776196636481242;CTXsp:0.00129366106080207;OLF:0.00129366106080207;TH:0.00129366106080207,STR:0.789133247089263;CNU:0.138421733505821;HY:0.0608020698576973,STR:0.789133247089263;CNU:0.138421733505821;HY:0.0685640362225097;OLF:0.00258732212160414;TH:0.00129366106080207,STR:0.789133247089263;CNU:0.138421733505821;HY:0.0685640362225097
122 LHA-MEA Otp Glut,STR:0.744234800838574;HY LZ:0.121593291404612;CNU:0.0733752620545073;HY:0.0607966457023061,STR:0.744234800838574;HY LZ:0.121593291404612;CNU:0.0733752620545073,STR:0.744234800838574;HY:0.182389937106918;CNU:0.0733752620545073,STR:0.744234800838574;HY:0.182389937106918;CNU:0.0733752620545073
123 DMH Nkx2-4 Glut,HY:0.998552821997106;STR:0.000964785335262904;HY LZ:0.000482392667631452,HY:0.998552821997106;STR:0.000964785335262904;HY LZ:0.000482392667631452,HY:0.999035214664737;STR:0.000964785335262904,HY:0.999035214664737;STR:0.000964785335262904;
124 MPN-MPO-PVpo Hmx2 Glut,HY:0.96580547112462;CNU:0.020516717325228;HY LZ:0.010258358662614;STR:0.00227963525835866;OLF:0.000759878419452888;MB:0.000379939209726444,HY:0.96580547112462;CNU:0.020516717325228;HY LZ:0.010258358662614,HY:0.976063829787234;CNU:0.020516717325228;STR:0.00227963525835866;OLF:0.000759878419452888;MB:0.000379939209726444,HY:0.976063829787234;CNU:0.020516717325228;STR:0.00227963525835866
125 DMH Hmx2 Glut,HY:0.948797517455392;HY LZ:0.0504266873545384;STR:0.000775795190069822,HY:0.948797517455392;HY LZ:0.0504266873545384;STR:0.000775795190069822,HY:0.99922420480993;STR:0.000775795190069822,HY:0.99922420480993;STR:0.000775795190069822;
126 ARH-PVp Tbx3 Glut,HY:0.984573502722323;HY LZ:0.0136116152450091;STR:0.00136116152450091;CNU:0.000453720508166969,HY:0.984573502722323;HY LZ:0.0136116152450091;STR:0.00136116152450091,HY:0.998185117967332;STR:0.00136116152450091;CNU:0.000453720508166969,HY:0.998185117967332;STR:0.00136116152450091;CNU:0.000453720508166969
127 DMH-LHA Vgll2 Glut,HY:0.87292817679558;HY LZ:0.123388581952118;CNU:0.00184162062615101;STR:0.00184162062615101,HY:0.87292817679558;HY LZ:0.123388581952118;CNU:0.00184162062615101,HY:0.996316758747698;CNU:0.00184162062615101;STR:0.00184162062615101,HY:0.996316758747698;CNU:0.00184162062615101;STR:0.00184162062615101
128 VMH Fezf1 Glut,HY:0.718018018018018;HY LZ:0.28018018018018;CTXsp:0.000900900900900901;TH:0.000900900900900901,HY:0.718018018018018;HY LZ:0.28018018018018;CTXsp:0.000900900900900901,HY:0.998198198198198;OLF:0.000900900900900901;TH:0.000900900900900901,HY:0.998198198198198;OLF:0.000900900900900901;TH:0.000900900900900901
129 VMH Nr5a1 Glut,HY:0.928435477731252;HY LZ:0.0706128663875143;STR:0.000761324704986677;MB:0.000190331176246669,HY:0.928435477731252;HY LZ:0.0706128663875143;STR:0.000761324704986677,HY:0.999048344118767;STR:0.000761324704986677;MB:0.000190331176246669,HY:0.999048344118767;STR:0.000761324704986677;MB:0.000190331176246669
