clu.sa2,size,sa1_ratio,AllenAnnot,AllenAnnot_quality,AllenAnnot_ratio,L3Annot,L3Annot_quality,L3Annot_ratio,L2Annot,L2Annot_quality,L2Annot_ratio,class,class_quality,class_ratio,mainclass,mainclass_quality,mainclass_ratio
3-2-1,8120,0.99,Astro-TE_NN,high,0.85,ASCTE1,high,0.82,ASCTE1,high,0.82,NN,high,1,NN,high,1
3-2-3,1753,0.97,DG-PIR_Ex_IMN,high,0.93,RGDG,high,0.93,RGL,high,0.96,NN,high,1,NN,high,1
3-3-2,1696,0.93,Astro-TE_NN,high,0.95,ASCTE1,high,0.82,ASCTE1,high,0.82,NN,high,1,NN,high,1
3-3-1,9803,0.95,Astro-TE_NN,high,0.96,ASCEP1,medium,0.68,ASCTENT,high,0.9,NN,high,1,NN,high,1
3-4-1,676,0.64,Astro-TE_NN,high,0.86,ASCTE1,medium,0.66,ASCTE1,medium,0.66,NN,high,1,NN,high,1
3-5-1,177,0.49,Astro-TE_NN,high,0.76,ASCTE1,high,0.72,ASCTE1,high,0.72,NN,high,0.99,NN,high,0.99
3-5-2,57,0.3,Oligo_NN,medium,0.6,MOL5,low,0.32,OGC2,medium,0.44,NN,high,1,NN,high,1
30-1-2,996,0.88,CB_Granule_Glut,high,1,CBGRANGL4,high,0.98,CBGRGL,high,1,Glut,high,1,GLUT,high,1
30-1-1,1966,0.96,CB_Granule_Glut,high,0.99,CBGRANGL4,high,0.99,CBGRGL,high,0.99,Glut,high,1,GLUT,high,1
30-2-1,1970,0.95,CB_MLI_Megf11_Gaba,high,0.99,CBGA1,high,0.92,CBGA,high,1,Gaba,high,1,GABA,high,1
30-2-2,889,0.94,CB_MLI_Megf11_Gaba,high,0.97,PURKGA1,high,0.94,CBGA,high,1,Gaba,high,1,GABA,high,1
30-2-3,53,0.55,CB_PLI_Gly-Gaba,high,0.81,CBGA2,high,0.81,CBGA,high,0.81,Gaba,high,0.81,GABA,high,0.81
30-3-1,847,0.9,CB_MLI_Cdh22_Gaba,high,0.94,PURKGA2,high,0.92,CBGA,high,0.99,Gaba,high,0.99,GABA,high,0.99
30-3-2,242,0.85,CB_PLI_Gly-Gaba,high,0.96,CBGLYGA2,high,0.96,CBGA,high,0.98,Gaba,high,0.97,GABA,high,0.98
30-4-1,196,0.78,CB_Granule_Glut,high,0.97,CBGRANGL4,high,0.97,CBGRGL,high,0.97,Glut,high,0.98,GLUT,high,0.98
30-4-2,131,0.79,CB_Granule_Glut,high,0.99,CBGRANGL4,high,0.99,CBGRGL,high,0.99,Glut,high,1,GLUT,high,1
30-4-3,137,0.9,CB_Granule_Glut,high,0.99,CBGRANGL4,high,0.99,CBGRGL,high,0.99,Glut,high,0.99,GLUT,high,0.99
